Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-101,Sutter County,22.78,97,3.8,18.98,2012
CA-103,Tehama County,43.09,97,6.58,36.51,2012
CA-105,Trinity County,69,99,11.51,57.49,2012
CA-107,Tulare County,18.29,47,-3.55,21.84,2012
CA-109,Tuolumne County,42.11,75,1.27,40.84,2012
CA-111,Ventura County,12.34,28,-8.07,20.41,2012
CA-113,Yolo County,25.72,101,5.71,20.01,2012
CA-115,Yuba County,48.71,106,10.98,37.73,2012
CA-001,Alameda County,5.08,1,-13.67,18.75,2013
CA-003,Alpine County,13.55,1,-22.59,36.14,2013
CA-005,Amador County,12.25,2,-22.98,35.23,2013
CA-007,Butte County,12.19,1,-32.22,44.41,2013
CA-009,Calaveras County,11.14,1,-23.13,34.27,2013
CA-011,Colusa County,8.22,3,-13.78,22,2013
CA-013,Contra Costa County,5.27,1,-13.22,18.49,2013
CA-015,Del Norte County,35,1,-44.99,79.99,2013
CA-017,El Dorado County,16.06,2,-28.58,44.64,2013
CA-019,Fresno County,5.29,1,-14.31,19.6,2013
CA-021,Glenn County,7.59,2,-18.29,25.88,2013
CA-023,Humboldt County,21.3,1,-42.09,63.39,2013
CA-025,Imperial County,3.6,79,0.22,3.38,2013
CA-027,Inyo County,3.52,15,-2.72,6.24,2013
CA-029,Kern County,3.6,2,-5.45,9.05,2013
CA-031,Kings County,2.37,1,-5.24,7.61,2013
CA-033,Lake County,12.35,1,-31.11,43.46,2013
CA-035,Lassen County,8.55,1,-11.85,20.4,2013
CA-037,Los Angeles County,4.95,2,-10.61,15.56,2013
CA-039,Madera County,6.64,1,-16.48,23.12,2013
CA-041,Marin County,8.4,1,-27.08,35.48,2013
CA-043,Mariposa County,9.39,1,-23.42,32.81,2013
CA-045,Mendocino County,15.5,1,-36.11,51.61,2013
CA-047,Merced County,3.5,1,-7.77,11.27,2013
CA-049,Modoc County,10.81,2,-7.26,18.07,2013
CA-051,Mono County,6.08,2,-9.55,15.63,2013
CA-053,Monterey County,4.18,1,-15.92,20.1,2013
CA-055,Napa County,6.72,1,-24.38,31.1,2013
CA-057,Nevada County,15.56,1,-34.81,50.37,2013
CA-059,Orange County,4.21,1,-9.34,13.55,2013
CA-061,Placer County,14.6,1,-31.17,45.77,2013
CA-063,Plumas County,12.06,1,-29.15,41.21,2013
CA-065,Riverside County,4.87,21,-3.62,8.49,2013
CA-067,Sacramento County,6.41,2,-12.28,18.69,2013
CA-069,San Benito County,3.53,1,-13.21,16.74,2013
CA-071,San Bernardino County,4.37,28,-2.49,6.86,2013
CA-073,San Diego County,7.86,11,-6.43,14.29,2013
CA-075,San Francisco County,6.21,1,-18.09,24.3,2013
CA-077,San Joaquin County,5.06,1,-8.99,14.05,2013
CA-079,San Luis Obispo County,3.12,1,-14.04,17.16,2013
CA-081,San Mateo County,6.19,1,-22.47,28.66,2013
CA-083,Santa Barbara County,3.94,1,-14.9,18.84,2013
CA-085,Santa Clara County,5.12,1,-17.99,23.11,2013
CA-087,Santa Cruz County,6.07,1,-26.98,33.05,2013
CA-089,Shasta County,14.77,1,-27.17,41.94,2013
CA-091,Sierra County,13.57,1,-32.18,45.75,2013
CA-093,Siskiyou County,16.12,1,-22.69,38.81,2013
CA-095,Solano County,5.1,1,-14.69,19.79,2013
