county_name,county,year,age_group,numerator,rate,total_pop,pop_density,housing_density
Riverside,06065,2018,Under 18,3309,55.6,2189641,303.8,111.1
Sacramento,06067,2018,Under 18,2847,78.5,1418788,1470.8,576.3
San Benito,06069,2018,Under 18,108,76.8,55269,39.8,12.9
San Bernardino,06071,2018,Under 18,3806,66,2035210,101.5,34.9
San Diego,06073,2018,Under 18,3644,44.7,3095313,735.8,276.9
San Francisco,06075,2018,Under 18,927,65,805235,17179.2,8041.8
San Joaquin,06077,2018,Under 18,1486,74,685306,492.6,168
San Luis Obispo,06079,2018,Under 18,199,39.6,269637,81.7,35.6
San Mateo,06081,2018,Under 18,660,40.5,718451,1602.2,604.4
Santa Barbara,06083,2018,Under 18,433,42.3,423895,155,55.9
Santa Clara,06085,2018,Under 18,1500,33.4,1781642,1381,489.8
Santa Cruz,06087,2018,Under 18,212,35.3,262382,589.4,234.7
Shasta,06089,2018,Under 18,180,48,177223,46.9,20.5
Siskiyou,06093,2018,Under 18,33,38.4,44900,7.2,3.8
Solano,06095,2018,Under 18,1022,102.6,413344,503,185.8
Sonoma,06097,2018,Under 18,490,50.7,483878,307.1,129.8
Stanislaus,06099,2018,Under 18,1074,73.6,514453,344.2,120.1
Sutter,06101,2018,Under 18,104,42.1,94737,157.3,56.2
Tehama,06103,2018,Under 18,95,60.9,63463,21.5,9.1
Trinity,06105,2018,Under 18,21,102.7,13786,4.3,2.7
Tulare,06107,2018,Under 18,783,54.6,442179,91.7,29.4
Tuolumne,06109,2018,Under 18,47,55.6,55365,24.9,14.1
Ventura,06111,2018,Under 18,946,48.4,823318,446.7,152.8
Yolo,06113,2018,Under 18,263,51.8,200849,197.9,74
Yuba,06115,2018,Under 18,106,49.2,72155,114.2,43.7
