Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,68.1,79,0.6,67.5
CA-003,Alpine County,56.6,35,-0.6,57.2
CA-005,Amador County,70.1,39,-0.6,70.7
CA-007,Butte County,72.8,53,0,72.8
CA-009,Calaveras County,70.9,43,-0.4,71.3
CA-011,Colusa County,74.5,67,0.2,74.3
CA-013,Contra Costa County,69.5,66,0.4,69.1
CA-015,Del Norte County,63.5,103,1.3,62.2
CA-017,El Dorado County,66.3,32,-0.8,67.1
CA-019,Fresno County,69.3,85,0.8,68.5
CA-021,Glenn County,73.6,50,-0.1,73.7
CA-023,Humboldt County,64.5,98,0.9,63.6
CA-025,Imperial County,90.5,111,2.2,88.3
CA-027,Inyo County,77.7,96,1.2,76.5
CA-029,Kern County,76.8,95,1.2,75.6
CA-031,Kings County,77.7,83,0.7,77
CA-033,Lake County,70.1,76,0.3,69.8
CA-035,Lassen County,62.3,70,0.7,61.6
CA-037,Los Angeles County,72.7,91,1.2,71.5
CA-039,Madera County,69.8,69,0.4,69.4
CA-041,Marin County,60.5,52,-0.1,60.6
CA-043,Mariposa County,68.4,45,-0.2,68.6
CA-045,Mendocino County,65.8,68,0.2,65.6
CA-047,Merced County,75,81,0.7,74.3
CA-049,Modoc County,62,85,1.1,60.9
CA-051,Mono County,59,77,0.6,58.4
CA-053,Monterey County,67.4,78,0.7,66.7
CA-055,Napa County,69.9,66,0.2,69.7
CA-057,Nevada County,65.2,46,0,65.2
CA-059,Orange County,70.9,78,0.8,70.1
CA-061,Placer County,66.4,44,-0.2,66.6
CA-063,Plumas County,61.7,72,0.6,61.1
CA-065,Riverside County,83.4,103,1.6,81.8
CA-067,Sacramento County,73.8,71,0.3,73.5
CA-069,San Benito County,70.1,77,0.7,69.4
CA-071,San Bernardino County,83.2,100,1.5,81.7
CA-073,San Diego County,73.4,86,0.9,72.5
CA-075,San Francisco County,61,69,0.2,60.8
CA-077,San Joaquin County,73.4,62,0.3,73.1
CA-079,San Luis Obispo County,69.5,85,0.8,68.7
CA-081,San Mateo County,62.2,87,0.8,61.4
CA-083,Santa Barbara County,66.4,84,0.9,65.5
CA-085,Santa Clara County,67.6,75,0.7,66.9
CA-087,Santa Cruz County,63.2,74,0.6,62.6
CA-089,Shasta County,69.4,74,0.5,68.9
CA-091,Sierra County,60.6,60,0.3,60.3
CA-093,Siskiyou County,63,83,0.8,62.2
CA-095,Solano County,71,66,0.3,70.7
CA-097,Sonoma County,64.7,72,0.2,64.5
CA-099,Stanislaus County,73.8,75,0.5,73.3
CA-101,Sutter County,75.4,66,0.2,75.2
CA-103,Tehama County,72.6,55,0,72.6
CA-105,Trinity County,66.2,78,0.6,65.6
CA-107,Tulare County,68.6,84,0.9,67.7
CA-109,Tuolumne County,62.8,36,-0.6,63.4
CA-111,Ventura County,67.6,91,1.3,66.3
CA-113,Yolo County,73.9,54,0.1,73.8
CA-115,Yuba County,73.5,60,0.2,73.3
