Location ID,Location,avg_temp,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-081,San Mateo County,61.7,65,0.3,61.4,2012
CA-083,Santa Barbara County,67.6,110,2.1,65.5,2012
CA-085,Santa Clara County,68.6,101,1.7,66.9,2012
CA-087,Santa Cruz County,63.7,91,1.1,62.6,2012
CA-089,Shasta County,70.8,109,1.9,68.9,2012
CA-091,Sierra County,62.8,115,2.5,60.3,2012
CA-093,Siskiyou County,64.7,114,2.5,62.2,2012
CA-095,Solano County,71.8,91,1,70.8,2012
CA-097,Sonoma County,64.6,60,0.1,64.5,2012
CA-099,Stanislaus County,75,109,1.6,73.4,2012
CA-101,Sutter County,76.8,107,1.6,75.2,2012
CA-103,Tehama County,73.9,105,1.2,72.7,2012
CA-105,Trinity County,67.3,104,1.6,65.7,2012
CA-107,Tulare County,70.6,120,2.9,67.7,2012
CA-109,Tuolumne County,65.8,117,2.4,63.4,2012
CA-111,Ventura County,70,121,3.7,66.3,2012
CA-113,Yolo County,74.7,94,1,73.7,2012
CA-115,Yuba County,75.4,115,2.1,73.3,2012
CA-001,Alameda County,69.3,106,1.8,67.5,2013
CA-003,Alpine County,58.8,104,1.5,57.3,2013
CA-005,Amador County,72.3,107,1.6,70.7,2013
CA-007,Butte County,73.5,86,0.8,72.7,2013
CA-009,Calaveras County,72.7,104,1.4,71.3,2013
CA-011,Colusa County,75.2,93,0.9,74.3,2013
CA-013,Contra Costa County,70.4,99,1.3,69.1,2013
CA-015,Del Norte County,64.5,118,2.3,62.2,2013
CA-017,El Dorado County,68.6,100,1.5,67.1,2013
CA-019,Fresno County,71.2,116,2.7,68.5,2013
CA-021,Glenn County,74.4,86,0.7,73.7,2013
CA-023,Humboldt County,66.2,121,2.6,63.6,2013
CA-025,Imperial County,90.5,111,2.2,88.3,2013
CA-027,Inyo County,79.4,116,2.9,76.5,2013
CA-029,Kern County,78.1,114,2.5,75.6,2013
CA-031,Kings County,79.4,116,2.3,77.1,2013
CA-033,Lake County,70.5,93,0.7,69.8,2013
CA-035,Lassen County,63.8,113,2.2,61.6,2013
CA-037,Los Angeles County,74.6,113,3.1,71.5,2013
CA-039,Madera County,71.8,115,2.4,69.4,2013
CA-041,Marin County,62,105,1.4,60.6,2013
CA-043,Mariposa County,70.8,112,2.2,68.6,2013
CA-045,Mendocino County,67,112,1.4,65.6,2013
CA-047,Merced County,76.2,110,1.9,74.3,2013
CA-049,Modoc County,63.2,114,2.3,60.9,2013
CA-051,Mono County,61.1,119,2.7,58.4,2013
CA-053,Monterey County,69.1,118,2.3,66.8,2013
CA-055,Napa County,70.9,101,1.2,69.7,2013
CA-057,Nevada County,66.8,106,1.5,65.3,2013
CA-059,Orange County,72,102,1.9,70.1,2013
CA-061,Placer County,68,99,1.4,66.6,2013
CA-063,Plumas County,63.2,110,2.1,61.1,2013
CA-065,Riverside County,84.2,114,2.4,81.8,2013
CA-067,Sacramento County,74.9,105,1.5,73.4,2013
CA-069,San Benito County,71.7,115,2.4,69.3,2013
CA-071,San Bernardino County,84.2,111,2.4,81.8,2013
CA-073,San Diego County,75,114,2.6,72.4,2013
CA-075,San Francisco County,62.5,105,1.7,60.8,2013
CA-077,San Joaquin County,74.3,101,1.2,73.1,2013
CA-079,San Luis Obispo County,71.5,119,2.8,68.7,2013
CA-081,San Mateo County,64,117,2.6,61.4,2013
CA-083,Santa Barbara County,67.8,111,2.3,65.5,2013
CA-085,Santa Clara County,68.8,108,1.9,66.9,2013
CA-087,Santa Cruz County,65.6,121,2.9,62.7,2013
CA-089,Shasta County,70.8,109,1.9,68.9,2013
CA-091,Sierra County,62.3,110,1.9,60.4,2013
CA-093,Siskiyou County,64.8,117,2.6,62.2,2013
CA-095,Solano County,72.6,114,1.8,70.8,2013
CA-097,Sonoma County,65.3,90,0.8,64.5,2013
CA-099,Stanislaus County,74.8,105,1.5,73.3,2013
CA-101,Sutter County,76.5,102,1.3,75.2,2013
CA-103,Tehama County,73.6,92,1,72.6,2013
CA-105,Trinity County,68,116,2.4,65.6,2013
CA-107,Tulare County,70.4,118,2.7,67.7,2013
CA-109,Tuolumne County,64.8,103,1.4,63.4,2013
CA-111,Ventura County,69.8,117,3.5,66.3,2013
CA-113,Yolo County,74.7,94,0.9,73.8,2013
CA-115,Yuba County,74.7,99,1.4,73.3,2013
CA-001,Alameda County,70.4,122,2.9,67.5,2014
CA-003,Alpine County,59.4,115,2.2,57.2,2014
CA-005,Amador County,73.7,123,3.1,70.6,2014
CA-007,Butte County,75.4,123,2.7,72.7,2014
CA-009,Calaveras County,74,121,2.7,71.3,2014
CA-011,Colusa County,77,124,2.7,74.3,2014
CA-013,Contra Costa County,71.3,116,2.2,69.1,2014
CA-015,Del Norte County,66.3,126,4.1,62.2,2014
CA-017,El Dorado County,69.6,118,2.6,67,2014
CA-019,Fresno County,72.2,125,3.7,68.5,2014
CA-021,Glenn County,76.1,123,2.4,73.7,2014
CA-023,Humboldt County,67.1,126,3.5,63.6,2014
CA-025,Imperial County,91.1,119,2.8,88.3,2014
CA-027,Inyo County,79.3,113,2.8,76.5,2014
CA-029,Kern County,78.7,121,3.1,75.6,2014
CA-031,Kings County,80.8,125,3.8,77,2014
CA-033,Lake County,72.5,124,2.8,69.7,2014
CA-035,Lassen County,65.2,126,3.6,61.6,2014
CA-037,Los Angeles County,75,117,3.5,71.5,2014
CA-039,Madera County,72.5,123,3.1,69.4,2014
CA-041,Marin County,63,122,2.5,60.5,2014
CA-043,Mariposa County,71.7,124,3,68.7,2014
CA-045,Mendocino County,68.4,123,2.7,65.7,2014
CA-047,Merced County,77.1,123,2.8,74.3,2014
CA-049,Modoc County,64.8,124,3.9,60.9,2014
CA-051,Mono County,61,117,2.6,58.4,2014
CA-053,Monterey County,70.1,123,3.3,66.8,2014
CA-055,Napa County,71.8,118,2.2,69.6,2014
CA-057,Nevada County,68.1,121,2.8,65.3,2014
CA-059,Orange County,73.4,120,3.3,70.1,2014
CA-061,Placer County,69.3,120,2.6,66.7,2014
CA-063,Plumas County,64.5,125,3.4,61.1,2014
CA-065,Riverside County,84.2,114,2.4,81.8,2014
CA-067,Sacramento County,76.2,123,2.7,73.5,2014
CA-069,San Benito County,72.8,123,3.5,69.3,2014
CA-071,San Bernardino County,84.2,111,2.4,81.8,2014
CA-073,San Diego County,75.7,122,3.2,72.5,2014
CA-075,San Francisco County,64,123,3.1,60.9,2014
CA-077,San Joaquin County,75.3,118,2.2,73.1,2014
CA-079,San Luis Obispo County,72,123,3.3,68.7,2014
CA-081,San Mateo County,64.9,122,3.5,61.4,2014
CA-083,Santa Barbara County,69.3,122,3.8,65.5,2014
CA-085,Santa Clara County,70.1,123,3.1,67,2014
CA-087,Santa Cruz County,66.2,122,3.5,62.7,2014
CA-089,Shasta County,72.6,124,3.7,68.9,2014
CA-091,Sierra County,63.5,122,3.2,60.3,2014
CA-093,Siskiyou County,66.4,125,4.3,62.1,2014
CA-095,Solano County,73.1,120,2.4,70.7,2014
CA-097,Sonoma County,66.5,120,2,64.5,2014
CA-099,Stanislaus County,75.8,123,2.5,73.3,2014
CA-101,Sutter County,77.9,123,2.8,75.1,2014
CA-103,Tehama County,75.4,123,2.8,72.6,2014
CA-105,Trinity County,69.7,126,4.1,65.6,2014
CA-107,Tulare County,71,124,3.4,67.6,2014
CA-109,Tuolumne County,66,120,2.5,63.5,2014
CA-111,Ventura County,70.1,122,3.8,66.3,2014
CA-113,Yolo County,76.2,121,2.4,73.8,2014
CA-115,Yuba County,76.2,122,3,73.2,2014
CA-001,Alameda County,71,124,3.4,67.6,2015
