GEOID,2011,2012,2013,2014,2015,2016,2017,2018
06001,0.245460576308054,0,0,0,0.585150688311038,0,0,0.146186392664702
06003,0,0,0,0.01981236303547,0,0.136659341409424,0.79427280157093,0.044463363956463
06005,0.088413394287921,0,0.004208932499522,0,0.921466792498564,0.099627917637553,0.008631426984233,0.212709712004801
06013,0.003557700704706,0,0.098171951514832,0,0,0,0,0.050734651141605
06019,0.023715622077426,0.032301315214742,0.622436084847277,0.005077932083296,3.919462619219878,0.249634820468456,1.153635868424211,0.038452867835688
06023,0.027589846696067,0.008778744785118,0.538138746401305,0.026208191805325,1.655246853704062,0.029541638200786,0.006942582680591,0.174122220890289
06033,0,1.02494400557059,0.121594032224061,0.060637203280949,0.12998317463004,0.499577828568827,0.29533999651526,39.50718741313836
06037,0.096281477226093,0.239229242180725,1.211190123117151,0.092210519984804007,0.123969939520255,1.858606633362627,1.160520768630365,2.588469217509362
06047,0.080502160592749,0,0.034050146794076,0,0.136530642432076,0.098417195032725,0,0.310652853657539
06057,0.002661415323286,0,0.009161267738649,0.062280502512713,0.379202630429036,0.011615210549433,0.227285152757733,0.001376621146831
06081,0,0,0,0,0,0,0.012394957751693,0
06085,0.001672587608218,0,0,0,0.026163695055227,0.561685155581877,0.037722339535011,0.038622346562042
06115,0.107521414572613,0.120851099792045,0.139385300089919,0.008045639509048,0.050530780319112,0.129725061168756,3.20765889944286,0.016912237338345
06045,0.028629768971035,1.891361115700757,0.01630493384858,0.581948137976825,0.005777959070547,0.00445065117488,1.623796422421132,1.172481481264822
06051,0.052174924939163,0.629110728967843,0.226623449430022,0.009209235455752,0.522586255900238,0.311291535818549,0.448785948719844,0.385670222874017
06055,0.100617971993786,0.038978889622505,0.102629958544095,0.770732639929245,0.04763467471525,0.048249761095522,13.876101829306432,6.832775725350718
06059,0.102658909720113,0,0,0.186524839152187,0.047574918490284,0.093565536500899,1.949910722382574,1.530819588647012
06069,0.0198582346456,0.013939864124041,0.010439721457532,0,0.083494072927174,0.024889364110682,0.01531420168743,0.275183503014756
06073,0.103187417322057,1.171311634397866,0.477361150364077,0.777203205403642,0.009549632812617,0.336230713398548,0.274972682621626,0.053608566506926
06079,0.163224832903249,0.045434707586932,0.037002388801469,0.001512388337187,0.201720582570086,1.9956038272867,0.572780571755196,0.06887101677964
06083,0.079488316996381,0.003122963944276,0.108578016815158,0.035878292765832,0.018356761813643,3.010969527770642,5.083747768180763,0.058189888393829
06097,0.00281189781755,0.00333327618659,0.388331415288798,0,0,0.153242970887174,8.462490182865704,0.001273572828982
06101,0.097070059751999,3.91005088467e-4,0,0,9.6520602271e-5,0.081088056689611,0,0.348118302040782
06107,0.783196405559609,0.063456258962551,0.077618782671474,0.047399057902739,0.284947587683098,0.426656553661499,1.355838429546059,0.265697665548543
06113,0,0.130286193159524,0,1.069837262668485,0.056605868962998,0.881966575585263,0.361295498290615,8.995888873466152
06039,0.002162025810652,0.002589212115052,0.051488804348835,0.065605706894726,0.526640917910625,0.02137601071662,0.99861684437196,0.060851391192566
06009,0.145769416825734,0.215873435811408,0.008691935836856,0,10.136645607096023,0.154447610614865,0.046606083443719,0.900889536984968
06043,0.773098699890081,0.36284357300016,0.920129156084667,1.272864250882705,0.062713615922128,0.122684418731215,0.414413449664957,10.535156582581303
06095,0.12337777195077,0,0,0.015818825995751,1.31071977687834,0.010315961997912,1.166446585060391,0.378934762926798
06063,0.001634770157161,4.608297377631869,0.029275912775181,0.001710874764112,0.009390274853462,0.015579931713801,0.373204719999804,0.043491855776872
06093,0.025517211460373,0.573062388351802,0.919403879339567,5.251705851539637,0.029337931350094,0.90530107300241,5.043490576389587,0.838804272844464
06027,0.11235542643605,0.02420923316353,0.006421899208868,0.002009915749408,0.006413659395868,0.003475376363422,0.001563477414721,0.095806516841087
06053,0.099283248842896,0.119908799284495,0.058750333314459,0.011580435365122,0.058056168212519,6.743611716239703,0.231451005575064,0.179084956349996
06099,0.129502382405278,0,0,0,0,0.012453657399279,0.01649018761052,0.632388739072297
06091,0.002065763646981,0,0,0.013697976438611,0,0.003776910797973,0.017494795407308,0
06089,0.00163613524838,3.144473974986237,0.012998620202768,0.572678940206942,0.01451640919302,0.018603463263871,0.044360921453682,11.032345892991927
06011,0,7.472966782139419,0,0.00326138072921,0,0,0.010911915166761,9.967246693281949
06041,0.003186965558457,0.031638006205656,0.001652039459656,0,0.001021129561813,3.43108320938e-4,0.011149062046272,3.89102395924e-4
06077,0.047284609350783,0.005037265588993,0.025922483564894,0,0.019559825546821,0,0.021320134472194,0.028879410270706
06031,0.007222155465231,0.032225018988596,0,0,0,0,1.747094562279609,0.008233458413177
06035,0.023486073544888,9.346733053823229,0.020335488813143,0,0.351870423718371,0.086122068285268,0.955056857018035,0.670696873155943
06075,0,0,0,0,0,0,0,0
06021,0,0.039113868581257,0.051142725893342,0.031648104616333,0,0,0,4.836142362629758
