OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
13116,1978,CA,BLM,NOD, ,00000000,1978/10/17 00:00:00,,2,,60,43.218597,,1,0000O383,{9BCF0DBC-077E-4CA4-8E92-A93D56A3D13D},2449.46853960706,315930.849984767
13117,2004,CA,CDF,MMU,JASPER 2,00012506,2004/07/08 00:00:00,2004/07/08 00:00:00,2,,26,16.715792,6,1,00000236,{24DEBF79-1B49-4A89-A839-8889B44C0950},1436.05360990379,106226.229985352
13118,2004,CA,CDF,MMU,DETENTION,00007979,2004/05/07 00:00:00,2004/05/07 00:00:00,14,,30,23.373846,6,1,00000126,{8EFB9B99-A0FF-453B-AA3F-FFFE23427351},1770.37958769186,148539.85605311
13119,2004,CA,CDF,MMU,RIMS,00007163,2004/04/26 00:00:00,2004/04/27 00:00:00,14,,68,43.391239,6,1,00000095,{108F1C2D-13DB-40AC-8BBA-DC234A62E2F4},3741.59889049201,275701.236040766
13120,2004,CA,CDF,MMU,ROMERO,00009595,2004/07/28 00:00:00,2004/07/28 00:00:00,14,,65,16.951962,6,1,00000270,{4D16C42C-FCB7-425C-A3F0-CEC84D704A0E},1527.25174533244,108003.092989439
13121,2004,CA,CDF,MMU,BEAR,00016500,2004/09/02 00:00:00,2004/09/04 00:00:00,14,,416,456.06683,6,1,00000340,{BC055127-ACBF-4C8D-9BCE-1C71A7062512},7524.90895890036,2932887.8292891
13122,2004,CA,CDF,SCU,HIGHWAY,00003485,2004/06/25 00:00:00,2004/06/28 00:00:00,2,,624,624.93573,1,1,00000181,{FD92717A-B167-4C34-ABCE-5B4E7E0C02DD},10317.7789138589,4080266.57913178
13123,2004,CA,CDF,SCU,KINCAID,00004410,2004/08/08 00:00:00,2004/08/15 00:00:00,9,,1224,1224.8591,1,1,00000281,{592B0694-BAD9-49CA-8A9C-AB83F92C4883},14971.3541941661,7872115.30210314
13124,2004,CA,CDF,SCU,SAN_ANTONE,00004477,2004/08/12 00:00:00,2004/08/20 00:00:00,2,,250,211.60762,1,1,00000290,{95B18533-7B29-4CC7-B998-5343BF32C9DD},7332.65307637364,1357703.04720419
13125,2004,CA,LRA,SCU,SILVER,00003929,2004/07/15 00:00:00,2004/07/18 00:00:00,7,,478,479.27722,1,1,00010520,{44E6A2DE-CE4C-44F4-AFA2-4747948322C8},10136.9306674839,3066355.93979991
