OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
1,2007,CA,CCO,LAC,OCTOBER,00246393,2007/10/21 00:00:00,2007/10/23 00:00:00,14,,,25.736713,8,1,00233414,{D01CD8EC-C3AD-4E68-A83E-E5D84E39251B},2305.25840789102,153290.074730884
2,2007,CA,CCO,LAC,MAGIC,00233077,2007/10/22 00:00:00,2007/10/25 00:00:00,14,,,2824.8772,8,1,00233077,{E5ED1EDE-09C3-4907-B879-2A0C87867BD2},24761.5896440095,16834546.7684073
3,2007,CA,USF,ANF,RANCH,00000166,2007/10/20 00:00:00,2007/11/15 00:00:00,2,,54716,58410.336,7,1,00000166,{B72BF2DA-1D4C-428E-861C-27F82305F6FC},205467.42778704,348868467.174835
4,2007,CA,CCO,LAC,EMMA,00201384,2007/09/11 00:00:00,2007/09/11 00:00:00,14,,,172.21495,8,1,00201384,{D9A747F7-2E9F-418F-8C68-12BC76615853},7431.46791380948,1028760.84878338
5,2007,CA,CCO,LAC,CORRAL,00259483,2007/11/24 00:00:00,2007/11/27 00:00:00,14,,,4707.9971,8,1,00259483,{F3F75516-6D52-4118-A558-66E29C588FEC},27685.171836133,27826958.3735746
6,2007,CA,CCO,LAC,GORMAN,00109398,2007/05/19 00:00:00,2007/05/22 00:00:00,14,,,2373.845,8,1,00109398,{7A650B42-3814-4130-977E-639D1FB763B8},24006.6815147438,14266522.2780645
7,2007,CA,CCO,LAC,WEST,00148311,2007/07/07 00:00:00,2007/07/08 00:00:00,14,,,245.23396,8,1,00148311,{A49C06DE-8570-4E8B-B263-22250B841673},7170.58390706339,1474671.39840015
8,2007,CA,CCO,LAC,PEARBLOSSOM,00177427,2007/08/13 00:00:00,2007/08/14 00:00:00,14,,,81.033501,8,1,00177427,{08A1B022-25E2-4F65-97DA-DC53691A9C22},5011.16501914232,484113.800950322
9,2007,CA,CCO,LAC,SKYLINE,00183643,2007/08/21 00:00:00,2007/08/23 00:00:00,14,,,95.418556,8,1,00183643,{8C9ACAC2-557E-40D3-9785-DC50B510F4B6},4332.95259919261,563161.424143421
10,2007,CA,CCO,LAC,SESNON,00231876,2007/10/21 00:00:00,2007/10/21 00:00:00,14,,,30.301418,8,1,00231876,{3714FACD-129F-4B65-9B03-1BE85A1F2715},2032.10677887701,180152.734634414
11,2007,CA,CCO,LAC,SOLEDAD,00233414,2007/10/22 00:00:00,2007/10/23 00:00:00,14,,,44.16777,8,1,00233414,{353B6815-5A68-4E29-B48B-713120D556FA},2494.11180001473,263363.345097184
12,2007,CA,CCO,LAC,Y,00233912,2007/10/23 00:00:00,,14,,,22.49173,,1,00233912,{8BFC2393-8AD8-49D8-B24E-54CAD3F99C22},2016.15607241837,134216.594354989
13,2007,CA,CDF,MVU,ANGEL 3,00009233,2007/09/15 00:00:00,2007/09/25 00:00:00,4, ,837,832.12653,7,1,00000000,{381AC82F-84BC-425F-8CBE-DAB82210C3A8},21415.5212885297,4810452.81118085
14,2007,CA,CDF,MVU,BANNER,00006310,2007/07/01 00:00:00,2007/07/03 00:00:00,14,,,95.15126,7,1,00000000,{5A8A2F0C-7E44-4FDE-BBBC-541B9E11AF8B},4168.64423771162,549988.746675445
15,2007,CA,CDF,HUU,CHAMBERS,00003235,2007/07/27 00:00:00,2007/07/29 00:00:00,7,,55,54.696358,2,1,00000000,{B9777759-6F9F-43E7-80D0-C2ACE5B15C55},3979.70585918826,381184.89629816
16,2007,CA,CDF,HUU,BROWN,00002877,2007/07/08 00:00:00,2007/07/08 00:00:00,2,,20,18.731773,2,1,00000000,{D204EDBA-9EA7-41D4-B53F-6550CAD3C521},1928.59436469495,130405.313152661
17,2007,CA,CDF,HUU,DRIFTWOOD,00004908,2007/10/25 00:00:00,2007/11/05 00:00:00,14,,70,52.972954,1,1,00000000,{145EFB6C-157E-4B96-BAA6-DB293E5BC1F0},5700.44568840503,367702.325183113
18,2007,CA,CDF,HUU,CAPPEL,00004049,2007/09/05 00:00:00,2007/09/11 00:00:00,14,,20,12.894146,1,1,00000000,{49D9D5DD-83E7-48C6-B5E0-76C644B702A4},2137.55386194766,92464.0130229704
19,2007,CA,CCO,KRN,MOUNTAIN,00717959,2007/07/19 00:00:00,2007/07/19 00:00:00,14,,840.56,840.55829,1,1,00717959,{8F98A712-A559-49A4-9E2D-CB8436DDB359},12536.5276661562,5111543.72059309
20,2007,CA,CCO,KRN,WHITE,00018055,2007/06/24 00:00:00,2007/06/29 00:00:00,2,,12432.15,12432.16,7,1,00718055,{7E7D194E-55EB-4A32-B6B7-2FFA09F5E6CA},51597.6933116449,75126103.1721562
21,2007,CA,USF,KRN,WOFFORD,00000000,2007/05/09 00:00:00,2007/05/13 00:00:00,9, ,567,567.4566,2,1,0713610,{7DDCB81B-F4D9-4D12-9F80-EC3847D9F0A8},8824.77670903859,3492952.34254415
22,2007,CA,CCO,LAC,PEARBLOSSOM,00080271,2007/04/12 00:00:00,2007/04/13 00:00:00,14,,77,77.802773,8,1,00080271,{A95D9409-2C8E-448E-A51A-9C0D27B65C50},6286.10996821588,464902.298666653
23,2007,CA,CCO,LAC,ISLAND,00102481,2007/05/10 00:00:00,2007/05/17 00:00:00,14,,4750,4722.9658,8,1,00102481,{FBC1B2EE-42E5-4A2B-A770-51CC01C7C6CE},36823.8808184176,27470950.2427955
24,2007,CA,CCO,LAC,CANYON,00148415,2007/07/07 00:00:00,,14,,743,743.47992,,1,00148415,{57086A1C-7A5B-46C0-9C82-53DF0802F027},14944.9189727201,4437599.60623127
25,2007,CA,CCO,LAC,FAIRMONT,00193853,2007/09/01 00:00:00,2007/09/08 00:00:00,14,,211,211.62195,8,1,00193853,{228DA0FC-85CF-4AAE-A500-27D4C72069AD},5769.21304747602,1269857.54646789
26,2007,CA,CDF,FKU,AUBERRY,00009400,2007/08/28 00:00:00,2007/09/03 00:00:00,10,,150,150.93607,2,1,00009400,{092A1CFD-01A3-49D5-8710-9B6214CA3C79},4142.71973920571,961143.993136694
27,2007,CA,CDF,FKU,GATOS,00009688,2007/09/02 00:00:00,2007/09/05 00:00:00,1,,100,83.0522,2,1,00009688,{6F0F4490-DDD2-43BF-B7F7-1AD8BC42B9F2},2853.62191712988,517725.616689366
28,2007,CA,LRA,MVU,CORONADO HILLS,00010492,2007/10/22 00:00:00,,14,,,58.794746,3,1,00000000,{C6E1BF14-45E9-4CBB-8AE5-B1BC8CB972A7},2153.98630662125,340145.012625682
29,2007,CA,CCO,LAC,MEADOW RIDGE,00233523,2007/10/23 00:00:00,2007/10/25 00:00:00,14,,,39.108467,8,1,00233523,{75B77BA9-E19C-455D-8CF4-88B19773D0E7},4091.65286380833,232823.720245788
30,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,00005998,2007/05/20 00:00:00,,14,,,329.08093,6,1,00000000,{EF74E227-012C-4FF1-8B0F-318620BD4651},6734.22729165024,2093897.36531839
31,2007,CA,BLM,MVU,BORDER #34,00009128,2007/09/12 00:00:00,2007/09/16 00:00:00,14,,,109.22461,6,1,00000000,{B3080391-2BA5-461D-9D27-9434D6AC8F8B},3614.80464538574,624465.609211318
32,2007,CA,LRA,MVU,78 #4,00006655,2007/07/09 00:00:00,2007/07/10 00:00:00,10,,70,99.97422,6,1,00000000,{7DC9BF4A-8FCA-4550-ACEE-074542DFFE8C},4209.90128200747,577869.067553847
33,2007,CA,CDF,MVU,BORDER #25,00006524,2007/07/06 00:00:00,2007/07/07 00:00:00,4,,50,136.20993,6,1,00000000,{825F555F-63FD-4AE7-9539-CEC7E749869F},4353.41720654234,779717.488787504
34,2007,CA,CDF,MVU,VUELTA,00005764,2007/06/16 00:00:00,2007/06/18 00:00:00,14,,120,214.81335,6,1,00000000,{272E88EB-AD7E-4D46-9F42-4BF4C74045DF},7446.89090358312,1247983.09565387
35,2007,CA,CDF,LMU,WILLOW,00003020,2007/07/06 00:00:00,2007/07/17 00:00:00,1,Timber,75,73.360008,1,2,00000000,{3793DA6B-9494-4A5F-9A83-B878DF0E54FE},4141.94112192422,522675.281051205
36,2007,CA,CDF,LMU,LOOKOUT,00004945,2007/10/02 00:00:00,2007/10/03 00:00:00,5,Grass and Brush Mix,64,64.51181,1,1,00000000,{8579955F-9715-424F-9582-E083EA93FBD3},4456.58392797877,462688.126735439
37,2007,CA,CDF,LMU,PINE,00002692,2007/06/23 00:00:00,2007/07/29 00:00:00,5,Grass and Brush Mix,314,481.78003,1,1,00000000,{9D097C6A-55F8-4B91-84C9-5EC30E4FD89F},7720.9347056361,3362512.75726588
38,2007,CA,CDF,LMU,ISLAND,00002269,2007/06/01 00:00:00,2007/06/04 00:00:00,1,"Grass and sagebrush, outside of SRA.",518,517.56293,1,1,00000000,{48EA6554-E61A-4A8D-8C55-61F0863ABF34},10441.9413875212,3592835.23551104
39,2007,CA,CDF,LNU,HWY 128,00005933,2007/08/14 00:00:00,2007/08/15 00:00:00,14,,368,508.3511,6,1,00000000,{4126B5B3-77AA-4810-AB0D-CE8693A6F9C5},7855.39100602066,3364521.11674852
40,2007,CA,CDF,LNU,PEAK,00004843,2007/07/11 00:00:00,2007/07/11 00:00:00,2,,60,46.321991,5,1,00000000,{CBD8238B-F9CF-42BF-97B4-35F385B4E0EF},3433.48877699183,305474.591213981
41,2007,CA,CDF,LNU,MOUNTAIN,00004247,2007/06/24 00:00:00,2007/06/27 00:00:00,14,,45,49.278236,7,1,00000000,{968F0D07-AF7B-4E12-9BAA-F42FCF78359F},2323.62117327578,326772.236558528
42,2007,CA,CDF,LNU,SPRUCE,00004982,2007/07/15 00:00:00,2007/07/15 00:00:00,11,,,129.01109,5,1,00000000,{FF98C523-A7F3-4EFC-BE5A-4E4444FF788D},5194.01436560537,861916.532437011
43,2007,CA,CDF,LNU,BRAYE,00003042,2007/05/18 00:00:00,2007/05/22 00:00:00,14,,450,636.53021,6,1,00000000,{11966B78-EF88-4638-AD79-B46A4CB100F9},9024.58797634605,4214930.38946356
44,2007,CA,CDF,LNU,ROBINSON,00005400,2007/07/28 00:00:00,2007/07/30 00:00:00,7,Started on Robinson Rancheria,128,121.54822,1,1,00000000,{A1AAA589-9999-4A22-AA73-ACF99B163D8A},5647.22667917874,818807.231870268
45,2007,CA,CDF,LNU,WEST,00005195,2007/07/22 00:00:00,2007/07/22 00:00:00,10,,40,36.99461,6,1,00000000,{391DC50F-54D6-4999-B6A7-1E48F89D11BE},2734.77675291098,247130.643180984
46,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007/05/08 00:00:00,,3,NPS from BARC imagery and air photo interp. Presumed accuracy 30m,,747.89838,7,1,00000002,{6F044CEA-DB37-4DD2-96C9-E5D912720F26},15010.920327604,4427910.24398371
47,2007,CA,LRA,LAC,BARHAM,00000000,2007/03/30 00:00:00,2007/03/31 00:00:00,8,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",,224.32764,7,1,00000001,{C31E036E-58FD-467C-B01E-A0A70118B2D6},6131.23939583745,1328555.59628866
48,2007,CA,CCO,VNC,SMALL HIGHWAY,00000000,2007/06/08 00:00:00,2007/06/08 00:00:00,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",,0.132266,1,1,00000002,{2124B51F-20E6-4A79-9BE9-73361C9ABE2C},136.914182529282,784.126019076629
49,2007,CA,CCO,VNC,RABBIT HILL,00000000,2007/10/21 00:00:00,2007/10/21 00:00:00,14,VTACO prob suppress. NPS map by recon & airpic interp. Cause unkn. Accuracy 15m,,16.840963,7,1,00000003,{9381CF98-9CCA-4369-8C0F-613D36C669B1},1202.59608807389,99854.8270807265
50,2007,CA,CCO,VNC,ROADSIDE,00000000,2007/04/30 00:00:00,2007/04/30 00:00:00,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",,0.32058397,1,1,00000001,{E8AF5310-7A9B-4D05-9B00-C2A294BBE001},237.547150652687,1901.01148196699
51,2007,CA,CCO,VNC,DEER RIDGE,00000239,2007/04/01 00:00:00,2007/04/01 00:00:00,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.30896154,7,1,00000239,{E73961B4-A656-4B6D-A882-A84C4C94233F},151.855275977811,1830.38129872005
52,2007,CA,CCO,LAC,TRIUNFO,00000313,2007/05/09 00:00:00,2007/05/09 00:00:00,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.2,0.30898094,8,1,00000313,{5F0E43CE-9569-445E-9B9D-0A742C689EED},151.80817231436,1829.24527665899
53,2007,CA,CCO,ORC,241 (HAYSTACK),00000000,2007/05/26 00:00:00,,10, ,,0.23822019,,1,00000000,{99E2E8A2-F6F5-4020-84D6-BAF0326F7F3D},644.165030147161,1399.7706348209
54,2007,CA,CCO,ORC,PIONEER,00000000,2007/05/26 00:00:00,,8, ,,0.33881804,,1,00034237,{610F516B-238F-4D10-827B-6627958CDAF5},231.983936507886,1989.20245134939
55,2007,CA,CCO,ORC,FREEMONT/IRVINE LAKE,00000000,2007/06/22 00:00:00,,16, ,,9.4887638,,1,00039619,{E1038522-7CE1-402E-901D-BC9E8485FB30},1351.3328298829,55752.1071152953
56,2007,CA,CCO,ORC,ANTONIO,00000000,2007/06/25 00:00:00,,11, ,,0.87953585,,1,07040974,{EE2EE2FA-A08E-414F-B4D1-A2EFA96C518E},286.936308349617,5138.03035482624
57,2007,CA,CCO,ORC,FREEWAY INCIDENT,00000000,2007/09/18 00:00:00,,8, ,,2.4546256,,1,00060896,{6233DD55-1137-4EC4-B959-286F544BBB5E},917.112176256947,14373.4211111866
58,2007,CA,CCO,ORC,CROWN VALLEY,00000000,2007/07/13 00:00:00,,8, ,,22.872665,,1,07045332,{0C6EB0AD-0FFA-4EE3-A863-F8A7B2D56722},2268.15087834253,133680.428626603
59,2007,CA,CCO,ORC,261 INCIDENT,00000000,2007/07/27 00:00:00,,10, ,,89.767937,,1,07048570,{D2905EEE-D5B9-4F9C-A830-8D1796A140BE},3390.73719814347,527068.6524122
60,2007,CA,CDF,RRU,ROCA,00091948,2007/10/21 00:00:00,2007/10/21 00:00:00,11,,256,270.02652,7,1,00000000,{2B827E8E-3245-410F-9E74-1D2086E860C4},6776.96551754142,1573709.86477183
61,2007,CA,CCO,SBC,CEMETERY,00006785,2007/08/20 00:00:00,2007/08/23 00:00:00,8,Children playing with fire,490,501.57867,7,1,00006785,{60F5B77E-9C84-4EFE-927F-FF82424EA068},9256.97796596701,3004428.02842459
62,2007,CA,CCO,SBC,MARIPOSA,00007295,2007/09/03 00:00:00,2007/09/04 00:00:00,11,,187,188.25462,7,1,00007295,{199F5DD5-4E39-48B1-AFF4-A5EAB04F2515},5558.08916698243,1123712.67766729
63,2007,CA,CCO,SBC,SEDGWICK,00008758,2007/10/21 00:00:00,2007/10/23 00:00:00,11,CA-LPF-001783,710,808.82922,7,1,00008758,{7EDF7609-E5D4-4A7F-B227-2783CE924060},9817.41122326457,4856254.46880911
64,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007/08/14 00:00:00,2007/08/14 00:00:00,14,"perim = 5ac circle, by NPS, from oblique air photo. Cause unknown",,4.9619694,5,1,00000003,{07344B1D-A74F-4ACA-B569-000B39EE42B2},607.790258732503,29371.5333496794
65,2007,CA,CCO,LAC,AGOURA,00000420,2007/06/21 00:00:00,2007/06/21 00:00:00,9,"NPS by ground GPS. Accuracy 20m. cause = ukn, presumed human",0.8,0.80840141,1,1,00000420,{A34F70BE-B887-44D1-AF5D-451422302755},392.491296947771,4787.43416024976
66,2007,CA,CCO,LAC,KANAN,00000457,2007/07/03 00:00:00,2007/07/03 00:00:00,2,NPS by ground GPS. Accuracy 20m. presumed cause = weed abatement,0.5,0.51394385,1,1,00000457,{6CE8DCE2-B44C-4827-85C7-A9801A84D90F},244.790085181833,3042.23795585538
67,2007,CA,CCO,LAC,FLORES,00000535,2007/08/05 00:00:00,2007/08/05 00:00:00,10,"NPS by ground GPS. Cause = vehicle fire, accuracy 10m",0.1,0.093504287,1,1,00000535,{9A767DCC-F12A-4557-9594-EB0693B7D974},83.4544081479223,552.814750330748
68,2007,CA,CCO,LAC,AGOURA 2,00000677,2007/10/07 00:00:00,2007/10/07 00:00:00,7,"NPS by ground GPS. arson suspected, accuracy 20m",2,2.0144122,1,1,00000677,{2A9B8105-7769-49D4-BFA7-C4080E479272},387.451963204286,11930.5045590464
69,2007,CA,CCO,LAC,VIRGENES,00000717,2007/11/03 00:00:00,2007/11/03 00:00:00,9,"Cause unkn, presumed human, NPS by driveby recon, presumed accuracy 90m",0.1,0.016780473,7,1,00000717,{703FB8B2-D8F3-4577-918B-F9CF63A48988},35.3861382537816,99.3879586660724
70,2007,CA,LRA,RRU,RIVER,00037425,2007/04/28 00:00:00,2007/04/28 00:00:00,14,,488,158.04161,7,1,00000000,{F791DE83-0DA5-4E8A-8AD7-0ADB84426C69},6903.69577001644,932302.722828732
71,2007,CA,CDF,RRU,ROSA,00092560,2007/10/22 00:00:00,2007/10/22 00:00:00,14,,200,409.63455,7,1,00000000,{9D72990B-87B8-4647-82B1-007FC2761AB9},10462.8876976061,2388962.96636823
72,2007,CA,CCO,ORC,LAGUNA CANYON,00000000,2007/03/08 00:00:00,2007/03/08 00:00:00,3, ,,2.8425734,8,1,00000000,{5A09D3AD-2615-4D71-B995-89963D5B90A6},705.230659166812,16631.061607968
73,2007,CA,CCO,ORC,241 INCIDENT,00000000,2007/03/11 00:00:00,2007/03/13 00:00:00,7, ,,1618.0792,7,1,07016557,{0C52C9A3-C73A-4D7E-91E5-FB69842EF98A},21286.3120068215,9513116.33065855
74,2007,CA,CCO,ORC,,00000000,2007/01/07 00:00:00,2007/01/07 00:00:00,8, ,,14.803358,8,1,00000000,{BEAC80FE-8A38-4F14-AB59-38FE72507330},2006.33419583154,86536.7090904746
75,2007,CA,CCO,ORC,ROSE,00000000,2007/04/12 00:00:00,2007/04/12 00:00:00,11, ,2.5,8.3359556,8,1,00024073,{910544EF-23A2-4A59-A0D7-8B1FD74CD0CD},1473.50056971999,49107.6702950266
76,2007,CA,CDF,AEU,BAYNE,00011527,2007/07/01 00:00:00,2007/07/01 00:00:00,7,,126,125.96057,1,1,00000000,{30557400-3F91-407A-A12C-B646135B32AC},4889.76419021399,840596.809860873
77,2007,CA,CDF,AEU,PLACERVILLE,00010561,2007/06/18 00:00:00,2007/06/18 00:00:00,14,,1.2,0.98178816,6,1,00000000,{41F1D687-F645-4747-9C64-D927E572A2FA},310.552717148703,6536.05779773515
78,2007,CA,DOD,MCP,AMMO,00000000,2007/10/23 00:00:00,2007/11/01 00:00:00,14,,21084,21493.908,8,1,00001111,{735DB545-B903-4B42-986A-FD32D238539E},67026.0386903212,124975228.75798
79,2007,CA,CDF,BDU,RED STAR,00000287,2007/01/07 00:00:00,2007/01/07 00:00:00,14,CAL FIRE Wildland Contract area.,209,208.71445,1,1,00000000,{9DDDE740-6220-4B56-AA15-F831C8B2F183},9567.92985775166,1230094.6730041
80,2007,CA,USF,KNF,BACK,00000034,2007/07/06 00:00:00,2007/07/14 00:00:00,1,Part of the China-Back Complex,28,28.209942,8,1,00000034,{A42B7B8F-4E21-4292-AA13-F8A4A86C5218},3371.36823458056,204178.883547315
81,2007,CA,USF,KNF,CHINA,00000043,2007/07/10 00:00:00,2007/08/18 00:00:00,1,Part of the China-Back Complex,2906,2939.3633,7,1,00000043,{C5BC7625-4816-4144-9C56-2F61DB18F6C0},26401.2012202149,21448332.8694432
82,2007,CA,USF,KNF,SKY,00000033,2007/07/10 00:00:00,2007/07/15 00:00:00,1, ,22,21.536621,6,1,00000033,{AF03DE89-5E70-41FC-A89C-979FAAA50B82},1561.30470975293,155876.531190748
83,2007,CA,USF,BDF,BUTLER,00000138,2007/09/01 00:00:00,2007/09/05 00:00:00,1,,85,87.502579,5,1,00000138,{FC8BA63E-5AF9-40B4-90C5-663ACA3DF5C7},2827.03432858018,519598.725406209
84,2007,CA,USF,KNF,DOGWOOD,00000068,2007/08/29 00:00:00,2007/09/04 00:00:00,1, ,12,12.925918,6,1,00000068,{5D19E01A-E7CB-44FB-B5E6-E296BCA438D9},1424.41649008879,93498.9709791117
85,2007,CA,USF,BDF,ELLIOT,00000140,2007/09/01 00:00:00,2007/09/03 00:00:00,1, ,15,18.190487,6,1,00000140,{54915CBA-0695-482D-8122-85FDE4116FFC},1692.64248931495,108188.654532036
86,2007,CA,USF,BDF,DEVORE,00000095,2007/08/04 00:00:00,2007/08/04 00:00:00,2, ,10,14.000339,6,1,00000095,{F57AE9E6-DE38-4497-A111-FB249D71C71D},1168.84416469458,83081.035454286
87,2007,CA,USF,BDF,SAND,00000093,2007/08/02 00:00:00,2007/08/05 00:00:00,5, ,100,108.17876,6,1,00000093,{623C646A-7A65-4922-98A3-744B9E8DBE4F},3953.68674943988,641008.130838001
88,2007,CA,USF,BDF,BLUECUT,00000077,2007/07/13 00:00:00,2007/07/13 00:00:00,2, ,25,24.778418,8,1,00000077,{855DFA48-07A0-4720-994A-2E2CCB086144},1753.84229614036,147098.758899416
89,2007,CA,USF,MDF,ROCK BSFMU A6,00000022,2007/07/06 00:00:00,2007/07/25 00:00:00,1, ,268,267.27518,1,1,00000022,{C19C470C-816F-4EB7-877E-7B25623642BE},8436.31691322632,1957977.04829167
90,2007,CA,USF,INF,SAGE,00000015,2007/07/06 00:00:00,2007/07/11 00:00:00,1,Part of the Inyo Complex,6460,6462.6201,2,1,00000015,{2BC3FBE0-FDC1-42DA-BD81-62F0451B98B1},47728.5734125278,41246097.3667525
91,2007,CA,CDF,ORC,SANTIAGO,00000085,2007/10/21 00:00:00,2007/11/08 00:00:00,9,,28476,28429.98,3,1,00000085,{83FEDF73-E136-44FB-99B1-B432808B3E59},104267.081983139,166734464.894247
92,2007,CA,USF,INF,SENTINEL,00000025,2007/07/05 00:00:00,2007/07/14 00:00:00,1, ,13,12.165871,1,1,00000025,{3AE6F23C-1C60-417A-AEE4-DB95DAF5B550},1651.80790096863,78968.9553025788
93,2007,CA,USF,INF,SEVEN,00000023,2007/07/06 00:00:00,2007/07/13 00:00:00,1,Part of the Inyo Complex,1633,1643.7688,2,1,00000023,{7FE351F2-E5A4-4922-BEFC-E6D542882B29},14293.220963415,10392641.199204
94,2007,CA,USF,BDF,SLIDE,00000167,2007/10/22 00:00:00,2007/11/14 00:00:00,9, ,12759,12769.248,7,1,00000167,{C8392C55-4B6F-48B8-ADCE-05E9EF76598E},89819.0424484249,75786569.8769899
95,2007,CA,CDF,MVU,RICE,00010502,2007/10/07 00:00:00,2007/11/05 00:00:00,9,,,9471.8535,3,1,00000000,{9AE585AC-BA39-427E-B167-E87E9E7BE17E},62057.8387206466,55121588.9387004
96,2007,CA,BLM,BBD,LARSON,00000557,2007/06/01 00:00:00,2007/06/11 00:00:00,1,Hope this works.  If not let me know and will try again.,1080,1075.9994,2,1,00000557,{CB72499A-569A-40A6-9E7A-941B741C9895},14955.5621928009,7130477.08920596
97,2007,CA,BLM,NOD,PONDEROSA,00006532,2007/09/19 00:00:00,2007/09/12 00:00:00,11,10 of the 15 acres was on BLM land,15,14.640405,1,1,00006532,{4A8A6155-C42C-450A-AA86-B96B6DE219C7},1755.10822011102,102213.862960449
98,2007,CA,BLM,NOD,TWIN,00004262,2007/08/31 00:00:00,2007/08/31 00:00:00,1, ,30.32,30.308344,1,1,00004262,{4FB78D1C-BB29-40BB-BF71-78C010C335A3},2715.69171863659,214095.693585826
99,2007,CA,BLM,BBD,WALKER,00000622,,2007/04/06 00:00:00,1, ,793.3,794.12402,1,1,00000622,{60B3E55D-9640-4D0B-BC27-A68E7C22C920},13685.1281803287,4875786.18029
100,2007,CA,BLM,NOD,LAKE,00006277,2007/09/03 00:00:00,,9, ,,12.55744,,1,00006277,{E7803508-0372-4817-A3DD-90E4020FA220},1349.61185475826,87661.6415942114
101,2007,CA,BLM,BBD,BROWN,00001504,2007/07/20 00:00:00,2007/06/23 00:00:00,9, ,84.7,1430.3173,1,1,00001504,{56A484DC-7A9B-4571-9589-431A8340164E},19800.4869979803,8779869.3379455
102,2007,CA,BLM,BBD,BODFISH,00001379,2007/06/10 00:00:00,2007/06/11 00:00:00,14, ,213,213.1162,2,1,00001379,{F5CBD464-372E-4275-86EC-825ED13998F8},5113.08950348578,1307239.51939434
103,2007,CA,BLM,NOD,DANHAUSER,00004229,2007/08/30 00:00:00,2007/08/31 00:00:00,14,,145,145.13974,8,1,00004229,{72EC7DFC-1316-4162-9C5E-94077D643B86},8188.40237384664,1045350.27194202
104,2007,CA,BLM,BBD,SAN BENITO,00002767,2007/08/18 00:00:00,2007/08/19 00:00:00,14,,15,16.036627,8,1,00002767,{737A359E-641D-4C02-9134-41272634EA08},1904.18615827431,100382.48515068
105,2007,CA,BLM,NOD,SCHOTT,00000285,2007/01/24 00:00:00,2007/01/24 00:00:00,14,,99,60.566341,8,1,00000285,{F79A36EF-B534-4730-ADAC-AB4E53C4094D},3772.33957246761,431841.037173135
106,2007,CA,CDF,BTU,HONEY,00005890,2007/05/22 00:00:00,2007/05/28 00:00:00,11,,726,726.40356,2,1,00000000,{0A25B759-F8C5-489B-842B-116FF19F0EAA},15982.630405829,4973058.90197467
107,2007,CA,LRA,BTU,HWY 32,00009279,2007/08/03 00:00:00,2007/08/03 00:00:00,10,,380,247.54698,1,1,00000000,{FC1EAF04-0C8D-449D-8EAE-E945817367C5},5756.37804912594,1697004.60179582
108,2007,CA,CDF,BTU,BANGOR,00009467,2007/08/07 00:00:00,2007/08/07 00:00:00,7,,1057,1057.2021,1,1,00000000,{9DE7DA7F-13F2-4B97-BFC5-AE4653F64823},15809.0647779668,7164439.41117762
109,2007,CA,CDF,FKU,PANOCHE,002844,2007/03/22 00:00:00,2007/03/23 00:00:00,11,,300,73.787048,1,1,00002844,{853A0456-39ED-4E36-ABC6-CA2856D75383},3237.12496264175,463993.998840115
110,2007,CA,CDF,FKU,TAR,00008730,2007/08/10 00:00:00,2007/08/19 00:00:00,14, ,5670,5671.0283,2,1,00008730,{C9218DE4-AF34-4CF7-97E4-179BA23399F9},30875.8497666558,35073841.4662215
111,2007,CA,USF,STF,BOURLAND,,2007/10/30 00:00:00,,1,20090305,28,29.358068,6,2,00000090,{DA4B2400-126F-4B98-AB85-ED41D249AADA},2351.12061044179,192090.184157461
112,2007,CA,USF,SNF,MONO,00000004,2007/04/05 00:00:00,2007/05/25 00:00:00,1, ,98,98.083466,2,1,00000004,{E00BE588-5BBB-44F5-899C-F2F0CC2C2C15},6504.39444194678,629324.805099488
113,2007,CA,USF,PNF,MOONLIGHT,00000098,2007/09/03 00:00:00,2007/09/25 00:00:00,2, ,64995,64959.957,7,1,00000098,{4D252618-69D2-4032-A946-01F24A843211},107611.06106282,451389570.414282
114,2007,CA,USF,CNF,MCCOY,00000086,2007/10/21 00:00:00,2007/10/24 00:00:00,9,,353,353.13928,1,1,00000086,{5903DE7F-10D2-44FA-9F48-2D373DBF1C65},9458.03029156149,2035451.29158727
115,2007,CA,CDF,LAC,NORTH,00000129,2007/09/02 00:00:00,2007/09/02 00:00:00,1,,2200,2122.3425,8,1,00000129,{18580BA7-B26D-4B77-B505-C0467A4912B8},19154.0742605486,12651429.6759698
116,2007,CA,USF,INF,OAK,00000022,2007/07/06 00:00:00,2007/07/13 00:00:00,1,Part of the Inyo Complex,12051,27062.869,2,1,00000022,{1EF746C9-FCB3-45E8-913C-77A8A3784790},104844.502748097,171364811.043126
